             seconds	                  Ca	                  pH	             Calcite	         Portlandite	                 DIC	                  Si	
  0.000000000000e+00	  0.000000000000e+00	  7.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
  0.000000000000e+00	  0.000000000000e+00	  7.000000000000e+00	  1.000000000000e-06	  2.700000000000e-02	  0.000000000000e+00	  0.000000000000e+00	
  1.122018454302e+00	  1.650361955113e-02	  1.239288701402e+01	  1.026824899843e-06	  1.049640704700e-02	  7.079805839660e-04	  2.636693926925e-07	
  1.258925411794e+00	  1.734834715897e-02	  1.241068634928e+01	  1.034432633989e-06	  9.651620752550e-03	  7.930771335917e-04	  2.499391593418e-07	
  1.412537544623e+00	  1.812438563957e-02	  1.242588517710e+01	  1.044363625476e-06	  8.875518655823e-03	  8.898399127076e-04	  2.389119982155e-07	
  1.584893192461e+00	  1.881105194049e-02	  1.243832333749e+01	  1.057190288389e-06	  8.188783172326e-03	  9.984074513076e-04	  2.303286332947e-07	
  1.778279410039e+00	  1.940775567073e-02	  1.244821484611e+01	  1.073799069207e-06	  7.592002973267e-03	  1.120219510837e-03	  2.237608261211e-07	
  1.995262314969e+00	  1.993772694177e-02	  1.245608130270e+01	  1.096274281056e-06	  7.061942505387e-03	  1.262149865961e-03	  2.186789782259e-07	
  2.238721138568e+00	  2.036602698877e-02	  1.246159175680e+01	  1.123980043197e-06	  6.633546408839e-03	  1.412421232745e-03	  2.151727501214e-07	
  2.511886431510e+00	  2.074733457931e-02	  1.246564378429e+01	  1.161203082078e-06	  6.252124790660e-03	  1.585164178649e-03	  2.125972662793e-07	
  2.818382931264e+00	  2.107938815907e-02	  1.246834240464e+01	  1.209473510032e-06	  5.919939542564e-03	  1.775314886529e-03	  2.108510694060e-07	
  3.162277660168e+00	  2.138888447294e-02	  1.247005777003e+01	  1.274883723440e-06	  5.610283342663e-03	  1.991888458368e-03	  2.096827716496e-07	
  3.548133892336e+00	  2.169299149646e-02	  1.247098857727e+01	  1.366444731015e-06	  5.305975275172e-03	  2.242366997914e-03	  2.089575898674e-07	
  3.981071705535e+00	  2.197882320451e-02	  1.247127339472e+01	  1.485279214949e-06	  5.019907895948e-03	  2.507476519200e-03	  2.086017983715e-07	
  4.466835921510e+00	  2.228427791721e-02	  1.247109988748e+01	  1.657504513719e-06	  4.714143653448e-03	  2.814898131162e-03	  2.084832315427e-07	
  5.011872336273e+00	  2.260505540340e-02	  1.247054766350e+01	  1.903640286550e-06	  4.392964780356e-03	  3.156396330838e-03	  2.085603576087e-07	
  5.623413251903e+00	  2.295730654060e-02	  1.246964020842e+01	  2.278610761545e-06	  4.040157517337e-03	  3.546509057361e-03	  2.088087621274e-07	
  6.309573444802e+00	  2.333045848328e-02	  1.246841503331e+01	  2.848590147873e-06	  3.666232844262e-03	  3.972898156648e-03	  2.092154762490e-07	
  7.079457843841e+00	  2.374736868254e-02	  1.246674663290e+01	  3.815600587478e-06	  3.248116040642e-03	  4.464030715144e-03	  2.098334118035e-07	
  7.943282347243e+00	  2.418566899411e-02	  1.246460291210e+01	  5.480489649494e-06	  2.807882655950e-03	  4.999336721607e-03	  2.106970486103e-07	
  8.912509381337e+00	  2.465911899666e-02	  1.246168533756e+01	  8.742073146280e-06	  2.330858665683e-03	  5.606571791811e-03	  2.119632494081e-07	
  1.000000000000e+01	  2.515010618838e-02	  1.245764839333e+01	  1.584134696626e-05	  1.832414314888e-03	  6.284445523249e-03	  2.138429019228e-07	
  1.122018454302e+01	  2.563383285449e-02	  1.245185216770e+01	  3.383061358418e-05	  1.330290538636e-03	  7.037610649924e-03	  2.167307054199e-07	
  1.258925411794e+01	  2.604679226666e-02	  1.244337610666e+01	  8.798837988289e-05	  8.627222058099e-04	  7.843121335967e-03	  2.212495733440e-07	
  1.412537544623e+01	  2.623199617740e-02	  1.243074525358e+01	  2.930691129997e-04	  4.719615011841e-04	  8.605538141395e-03	  2.285268597952e-07	
  1.584893192461e+01	  2.554766273829e-02	  1.241250943683e+01	  1.245955688258e-03	  2.030298237349e-04	  8.739666381112e-03	  2.404066884495e-07	
  1.778279410039e+01	  2.181035707835e-02	  1.238823507637e+01	  5.123267740862e-03	  6.323324406221e-05	  6.089122004651e-03	  2.606521200910e-07	
  1.995262314969e+01	  1.645048266999e-02	  1.235720024655e+01	  1.053329146291e-02	  1.379401304502e-05	  2.037398457077e-03	  2.917169296159e-07	
  2.238721138568e+01	  1.370213341727e-02	  1.231497603110e+01	  1.329372153728e-02	  1.998308096711e-06	  8.179408397644e-04	  3.351150415162e-07	
  2.511886431510e+01	  1.179631503278e-02	  1.226020585332e+01	  1.520152361865e-02	  2.002108867097e-07	  6.241813867212e-04	  4.005233843505e-07	
  2.818382931264e+01	  9.791976437990e-03	  1.218647548695e+01	  1.720639166408e-02	  1.347590159601e-08	  5.551063668376e-04	  5.133223147154e-07	
  3.162277660168e+01	  7.580695757271e-03	  1.208210929896e+01	  1.941832506239e-02	  6.276922870363e-10	  5.048411920102e-04	  7.408828409423e-07	
  3.548133892336e+01	  5.115635470140e-03	  1.191497279891e+01	  2.188468135800e-02	  1.955533651676e-11	  4.693709590127e-04	  1.375446038156e-06	
  3.981071705535e+01	  2.381755150444e-03	  1.155257545077e+01	  2.462383250166e-02	  3.886994892621e-13	  4.730312566348e-04	  5.661055077775e-06	
  4.466835921510e+01	  7.375428182131e-04	  8.828321942146e+00	  2.680542249139e-02	  4.593547764387e-15	  1.342701643793e-03	  5.420580827780e-04	
  5.011872336273e+01	  9.689787803961e-04	  8.377338214257e+00	  2.701954334012e-02	  3.816391647149e-17	  1.871284770774e-03	  9.875134136825e-04	
  5.623413251903e+01	  8.710517414201e-04	  8.307817414747e+00	  2.721225604961e-02	  1.040834085586e-17	  1.692744647719e-03	  1.082208278869e-03	
  6.309573444802e+01	  7.677281749224e-04	  8.258017879383e+00	  2.733066236237e-02	  3.469446951954e-18	  1.498737351363e-03	  1.097234695575e-03	
  7.079457843841e+01	  6.974576101100e-04	  8.222113182790e+00	  2.740298514929e-02	  0.000000000000e+00	  1.365776255406e-03	  1.099252261221e-03	
  7.943282347243e+01	  6.531300455784e-04	  8.197401078858e+00	  2.744754282664e-02	  0.000000000000e+00	  1.281585462723e-03	  1.099460928187e-03	
  8.912509381337e+01	  6.258998864844e-04	  8.181197108221e+00	  2.747480170308e-02	  0.000000000000e+00	  1.229756048168e-03	  1.099476491195e-03	
  1.000000000000e+02	  6.099011208822e-04	  8.171269242043e+00	  2.749080878375e-02	  0.000000000000e+00	  1.199265498329e-03	  1.099477069631e-03	
  1.122018454302e+02	  6.007021834070e-04	  8.165416220480e+00	  2.750001203750e-02	  0.000000000000e+00	  1.181721137283e-03	  1.099476933706e-03	
  1.258925411794e+02	  5.957927843664e-04	  8.162247885192e+00	  2.750492372364e-02	  0.000000000000e+00	  1.172353974486e-03	  1.099476843497e-03	
  1.412537544623e+02	  5.933607008265e-04	  8.160666611370e+00	  2.750735694006e-02	  0.000000000000e+00	  1.167712543979e-03	  1.099476798359e-03	
  1.584893192461e+02	  5.922568772733e-04	  8.159946355304e+00	  2.750846127784e-02	  0.000000000000e+00	  1.165605769119e-03	  1.099476777861e-03	
