             seconds	                  pH	             logHCO3	              logCO3	            logH2CO3	
  0.000000000000e+00	  7.000000000000e+00	 -9.999000000000e+01	 -9.999000000000e+01	 -9.999000000000e+01	
  1.500000000000e+04	  6.210759252721e+00	 -6.224661818697e+00	 -1.036686213746e+01	 -9.999000000000e+01	
  3.000000000000e+04	  6.043486907970e+00	 -6.050450040342e+00	 -1.035992270385e+01	 -9.999000000000e+01	
  4.500000000000e+04	  5.954093766966e+00	 -5.958969839321e+00	 -1.035783564383e+01	 -9.999000000000e+01	
  6.000000000000e+04	  5.895581987426e+00	 -5.899464032815e+00	 -1.035684161687e+01	 -9.999000000000e+01	
  7.500000000000e+04	  5.853552766287e+00	 -5.856857131447e+00	 -1.035626393664e+01	 -9.999000000000e+01	
  9.000000000000e+04	  5.821704825627e+00	 -5.824633820479e+00	 -1.035588856633e+01	 -9.999000000000e+01	
  1.050000000000e+05	  5.796723157705e+00	 -5.799390261803e+00	 -1.035562667558e+01	 -9.999000000000e+01	
  1.200000000000e+05	  5.776652408822e+00	 -5.779127640201e+00	 -1.035543480286e+01	 -9.999000000000e+01	
  1.350000000000e+05	  5.760246041532e+00	 -5.762575653280e+00	 -1.035528918323e+01	 -9.999000000000e+01	
  1.500000000000e+05	  5.746664563277e+00	 -5.748880733768e+00	 -1.035517574197e+01	 -9.999000000000e+01	
  1.650000000000e+05	  5.735100354132e+00	 -5.737224711755e+00	 -1.035508392910e+01	 -9.999000000000e+01	
  1.800000000000e+05	  5.725446754230e+00	 -5.727497670431e+00	 -1.035501048768e+01	 -9.999000000000e+01	
  1.950000000000e+05	  5.717255574188e+00	 -5.719246365725e+00	 -1.035495036302e+01	 -9.999000000000e+01	
  2.100000000000e+05	  5.710261304802e+00	 -5.712202293894e+00	 -1.035490056057e+01	 -9.999000000000e+01	
  2.250000000000e+05	  5.704252964007e+00	 -5.706152267621e+00	 -1.035485887509e+01	 -9.999000000000e+01	
  2.400000000000e+05	  5.699088385488e+00	 -5.700952646956e+00	 -1.035482383295e+01	 -9.999000000000e+01	
  2.550000000000e+05	  5.694602620987e+00	 -5.696437025275e+00	 -1.035479397577e+01	 -9.999000000000e+01	
  2.700000000000e+05	  5.690723459661e+00	 -5.692532470176e+00	 -1.035476858199e+01	 -9.999000000000e+01	
  2.850000000000e+05	  5.687354787650e+00	 -5.689142061303e+00	 -1.035474684513e+01	 -9.999000000000e+01	
  3.000000000000e+05	  5.684419125138e+00	 -5.686187691450e+00	 -1.035472813779e+01	 -9.999000000000e+01	
  3.150000000000e+05	  5.681858663351e+00	 -5.683611090073e+00	 -1.035471199820e+01	 -9.999000000000e+01	
  3.300000000000e+05	  5.679622466047e+00	 -5.681360930443e+00	 -1.035469803588e+01	 -9.999000000000e+01	
  3.450000000000e+05	  5.677666940184e+00	 -5.679393295602e+00	 -1.035468592690e+01	 -9.999000000000e+01	
  3.600000000000e+05	  5.675954954745e+00	 -5.677670785875e+00	 -1.035467540261e+01	 -9.999000000000e+01	
  3.750000000000e+05	  5.674454742203e+00	 -5.676161409297e+00	 -1.035466623857e+01	 -9.999000000000e+01	
  3.900000000000e+05	  5.673139033469e+00	 -5.674837708177e+00	 -1.035465824619e+01	 -9.999000000000e+01	
  4.050000000000e+05	  5.671984368319e+00	 -5.673676063067e+00	 -1.035465126623e+01	 -9.999000000000e+01	
  4.200000000000e+05	  5.670970542202e+00	 -5.672656134558e+00	 -1.035464516384e+01	 -9.999000000000e+01	
  4.350000000000e+05	  5.670080161152e+00	 -5.671760414265e+00	 -1.035463982459e+01	 -9.999000000000e+01	
  4.500000000000e+05	  5.669297524667e+00	 -5.670973100111e+00	 -1.035463514692e+01	 -9.999000000000e+01	
  4.650000000000e+05	  5.668608320596e+00	 -5.670279788748e+00	 -1.035463103963e+01	 -9.999000000000e+01	
  4.800000000000e+05	  5.668001932574e+00	 -5.669669796200e+00	 -1.035462743511e+01	 -9.999000000000e+01	
  4.950000000000e+05	  5.667468234524e+00	 -5.669132932839e+00	 -1.035462426980e+01	 -9.999000000000e+01	
  5.100000000000e+05	  5.666998377320e+00	 -5.668660294470e+00	 -1.035462148863e+01	 -9.999000000000e+01	
  5.250000000000e+05	  5.666584619581e+00	 -5.668244091892e+00	 -1.035461904379e+01	 -9.999000000000e+01	
  5.400000000000e+05	  5.666220183897e+00	 -5.667877506110e+00	 -1.035461689369e+01	 -9.999000000000e+01	
  5.550000000000e+05	  5.665899134691e+00	 -5.667554565335e+00	 -1.035461500212e+01	 -9.999000000000e+01	
  5.700000000000e+05	  5.665616274502e+00	 -5.667270040564e+00	 -1.035461333754e+01	 -9.999000000000e+01	
  5.850000000000e+05	  5.665367056046e+00	 -5.667019357039e+00	 -1.035461187247e+01	 -9.999000000000e+01	
  6.000000000000e+05	  5.665147507756e+00	 -5.666798519292e+00	 -1.035461058302e+01	 -9.999000000000e+01	
  6.150000000000e+05	  5.664954170873e+00	 -5.666604047823e+00	 -1.035460944843e+01	 -9.999000000000e+01	
  6.300000000000e+05	  5.664784046401e+00	 -5.666432925699e+00	 -1.035460845078e+01	 -9.999000000000e+01	
  6.450000000000e+05	  5.664634550455e+00	 -5.666282553625e+00	 -1.035460757465e+01	 -9.999000000000e+01	
  6.600000000000e+05	  5.664502492864e+00	 -5.666149722533e+00	 -1.035460680115e+01	 -9.999000000000e+01	
  6.750000000000e+05	  5.664385215808e+00	 -5.666031758888e+00	 -1.035460611456e+01	 -9.999000000000e+01	
  6.900000000000e+05	  5.664281789305e+00	 -5.665927727146e+00	 -1.035460550932e+01	 -9.999000000000e+01	
  7.050000000000e+05	  5.664190572214e+00	 -5.665835976470e+00	 -1.035460497574e+01	 -9.999000000000e+01	
  7.200000000000e+05	  5.664110118948e+00	 -5.665755052740e+00	 -1.035460450527e+01	 -9.999000000000e+01	
  7.350000000000e+05	  5.664039155969e+00	 -5.665683674919e+00	 -1.035460409043e+01	 -9.999000000000e+01	
  7.500000000000e+05	  5.663976561270e+00	 -5.665620714394e+00	 -1.035460372460e+01	 -9.999000000000e+01	
  7.650000000000e+05	  5.663921346460e+00	 -5.665565176963e+00	 -1.035460340198e+01	 -9.999000000000e+01	
  7.800000000000e+05	  5.663872641145e+00	 -5.665516187120e+00	 -1.035460311745e+01	 -9.999000000000e+01	
  7.950000000000e+05	  5.663829679317e+00	 -5.665472974363e+00	 -1.035460286653e+01	 -9.999000000000e+01	
  8.100000000000e+05	  5.663791787489e+00	 -5.665434861252e+00	 -1.035460264524e+01	 -9.999000000000e+01	
  8.250000000000e+05	  5.663758374336e+00	 -5.665401252999e+00	 -1.035460245014e+01	 -9.999000000000e+01	
  8.400000000000e+05	  5.663728921651e+00	 -5.665371628361e+00	 -1.035460227819e+01	 -9.999000000000e+01	
  8.550000000000e+05	  5.663702976407e+00	 -5.665345531658e+00	 -1.035460212673e+01	 -9.999000000000e+01	
  8.700000000000e+05	  5.663680143762e+00	 -5.665322565737e+00	 -1.035460199346e+01	 -9.999000000000e+01	
  8.850000000000e+05	  5.663660080847e+00	 -5.665302385723e+00	 -1.035460187636e+01	 -9.999000000000e+01	
  9.000000000000e+05	  5.663642491205e+00	 -5.665284693425e+00	 -1.035460177370e+01	 -9.999000000000e+01	
  9.150000000000e+05	  5.663627119729e+00	 -5.665269232244e+00	 -1.035460168400e+01	 -9.999000000000e+01	
  9.300000000000e+05	  5.663613748007e+00	 -5.665255782492e+00	 -1.035460160597e+01	 -9.999000000000e+01	
  9.450000000000e+05	  5.663602189940e+00	 -5.665244156982e+00	 -1.035460153852e+01	 -9.999000000000e+01	
  9.600000000000e+05	  5.663592287543e+00	 -5.665234196805e+00	 -1.035460148074e+01	 -9.999000000000e+01	
  9.750000000000e+05	  5.663583760879e+00	 -5.665225620391e+00	 -1.035460143099e+01	 -9.999000000000e+01	
  9.900000000000e+05	  5.663575031858e+00	 -5.665216840441e+00	 -1.035460138006e+01	 -9.999000000000e+01	
  1.005000000000e+06	  5.663567319537e+00	 -5.665209083123e+00	 -1.035460133507e+01	 -9.999000000000e+01	
  1.020000000000e+06	  5.663560505430e+00	 -5.665202229262e+00	 -1.035460129531e+01	 -9.999000000000e+01	
