             seconds	                  Ca	                  pH	             Calcite	         Portlandite	                 DIC	                  Si	          CO2capture	
  0.000000000000e+00	  0.000000000000e+00	  5.650000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
  0.000000000000e+00	  0.000000000000e+00	  5.650000000000e+00	  1.000000000000e-06	  2.500000000000e-02	  0.000000000000e+00	  0.000000000000e+00	  1.000000000000e+00	
  1.122018454302e+00	  1.447353400071e-02	  1.234106487484e+01	  1.025476106981e-06	  1.052657105556e-02	  6.833401370247e-04	  3.090182857979e-07	  9.993166259598e-01	
  1.258925411794e+00	  1.522020059053e-02	  1.235899039062e+01	  1.032750814173e-06	  9.779848454200e-03	  7.660944885634e-04	  2.921726973858e-07	  9.992338621713e-01	
  1.412537544623e+00	  1.594722205281e-02	  1.237526932443e+01	  1.042334105953e-06	  9.052765788518e-03	  8.609184631952e-04	  2.778332307359e-07	  9.991390258325e-01	
  1.584893192461e+00	  1.661299779404e-02	  1.238916207148e+01	  1.054315228794e-06	  8.386925338459e-03	  9.639463240732e-04	  2.662663832355e-07	  9.990359826021e-01	
  1.778279410039e+00	  1.725157161496e-02	  1.240154466406e+01	  1.070142026271e-06	  7.748278095949e-03	  1.081983677372e-03	  2.564411766445e-07	  9.989179250702e-01	
  1.995262314969e+00	  1.784668648356e-02	  1.241219393103e+01	  1.090708879880e-06	  7.153080391149e-03	  1.214383050915e-03	  2.483304838494e-07	  9.987854996513e-01	
  2.238721138568e+00	  1.839936783074e-02	  1.242123031543e+01	  1.117550465892e-06	  6.600304245652e-03	  1.362880939195e-03	  2.416732251463e-07	  9.986369680258e-01	
  2.511886431510e+00	  1.891217489489e-02	  1.242877702229e+01	  1.152778977549e-06	  6.087387218522e-03	  1.529422725265e-03	  2.362528772229e-07	  9.984703823329e-01	
  2.818382931264e+00	  1.938891835227e-02	  1.243495511103e+01	  1.199354644180e-06	  5.610514473608e-03	  1.716187561878e-03	  2.318903626058e-07	  9.982835600002e-01	
  3.162277660168e+00	  1.983437063538e-02	  1.243987939086e+01	  1.261517429493e-06	  5.164907995423e-03	  1.925616123334e-03	  2.284381921393e-07	  9.980740555360e-01	
  3.548133892336e+00	  2.026114221217e-02	  1.244371138743e+01	  1.347215999608e-06	  4.737945934940e-03	  2.164801068603e-03	  2.257357635835e-07	  9.978347672671e-01	
  3.981071705535e+00	  2.065678995711e-02	  1.244639142255e+01	  1.461840923617e-06	  4.342069022461e-03	  2.425981981087e-03	  2.237939116690e-07	  9.975734501295e-01	
  4.466835921510e+00	  2.103925096517e-02	  1.244811015855e+01	  1.622079823949e-06	  3.959318724111e-03	  2.718882529480e-03	  2.224575786667e-07	  9.972803621944e-01	
  5.011872336273e+00	  2.141669181970e-02	  1.244891815398e+01	  1.853789278799e-06	  3.581499234959e-03	  3.049747157116e-03	  2.216744984646e-07	  9.969492314706e-01	
  5.623413251903e+00	  2.179277246184e-02	  1.244881993399e+01	  2.199390372751e-06	  3.204905811054e-03	  3.422243721084e-03	  2.214295205887e-07	  9.965763458671e-01	
  6.309573444802e+00	  2.217045630349e-02	  1.244779527681e+01	  2.735662336764e-06	  2.826495678498e-03	  3.840210233537e-03	  2.217275903972e-07	  9.961577883784e-01	
  7.079457843841e+00	  2.254889613368e-02	  1.244579742805e+01	  3.604039871265e-06	  2.446973268395e-03	  4.304668064381e-03	  2.225971864478e-07	  9.956923939722e-01	
  7.943282347243e+00	  2.293003911358e-02	  1.244269407901e+01	  5.112510826171e-06	  2.064079208696e-03	  4.822967452817e-03	  2.241207486794e-07	  9.951725007760e-01	
  8.912509381337e+00	  2.331341075805e-02	  1.243821144039e+01	  7.997228503076e-06	  1.677545984402e-03	  5.405987278445e-03	  2.264759086933e-07	  9.945864885323e-01	
  1.000000000000e+01	  2.368799439928e-02	  1.243195930152e+01	  1.415429931674e-05	  1.296491416216e-03	  6.058355912398e-03	  2.299372140039e-07	  9.939278274182e-01	
  1.122018454302e+01	  2.403210541595e-02	  1.242340433617e+01	  2.916117882031e-05	  9.370228633779e-04	  6.778467152292e-03	  2.349117557007e-07	  9.931925408696e-01	
  1.258925411794e+01	  2.430809368117e-02	  1.241172952579e+01	  7.280878970330e-05	  6.170003195699e-04	  7.557590680062e-03	  2.420713252332e-07	  9.923695623094e-01	
  1.412537544623e+01	  2.441003395727e-02	  1.239587659733e+01	  2.303736887457e-04	  3.570859471129e-04	  8.323142032282e-03	  2.524667521610e-07	  9.914462025945e-01	
  1.584893192461e+01	  2.388911896781e-02	  1.237483573045e+01	  9.343001035203e-04	  1.737254564121e-04	  8.653178141097e-03	  2.678408971899e-07	  9.904120281815e-01	
  1.778279410039e+01	  2.094475403743e-02	  1.234828118420e+01	  3.985338579609e-03	  6.714684706349e-05	  6.761805263241e-03	  2.922253825918e-07	  9.892525477453e-01	
  1.995262314969e+01	  1.539282490564e-02	  1.231440552650e+01	  9.586303626472e-03	  1.885603467722e-05	  2.489944975133e-03	  3.320786879242e-07	  9.879242098928e-01	
  2.238721138568e+01	  1.237291085383e-02	  1.226990906817e+01	  1.262157386314e-02	  3.887420584353e-06	  9.087659758548e-04	  3.870834770391e-07	  9.864704387122e-01	
  2.511886431510e+01	  1.044773755950e-02	  1.220965401708e+01	  1.455035372638e-02	  5.244101035605e-07	  6.405252290682e-04	  4.739254268839e-07	  9.848099458056e-01	
  2.818382931264e+01	  8.511158019152e-03	  1.212761055081e+01	  1.648781263951e-02	  4.533938327556e-08	  5.642554376529e-04	  6.295839626848e-07	  9.829487586398e-01	
  3.162277660168e+01	  6.379826436109e-03	  1.200790092329e+01	  1.861994352701e-02	  2.438982803915e-09	  5.127833293563e-04	  9.702941517386e-07	  9.808680964595e-01	
  3.548133892336e+01	  4.035486770865e-03	  1.180711911048e+01	  2.096603490681e-02	  8.111734894900e-11	  4.790346589340e-04	  2.079296686732e-06	  9.785557454506e-01	
  3.981071705535e+01	  1.534123243450e-03	  1.129461897046e+01	  2.348157678090e-02	  1.642835173454e-12	  5.046854760880e-04	  1.535525802636e-05	  9.760145200099e-01	
  4.466835921510e+01	  6.672494630165e-04	  9.199062372999e+00	  2.502423331472e-02	  2.044545088786e-14	  1.063866881939e-03	  6.904725399033e-04	  9.739124307994e-01	
  5.011872336273e+01	  7.659441594077e-04	  8.382922274642e+00	  2.525570465149e-02	  1.491862189340e-16	  1.473548546580e-03	  1.020537511962e-03	  9.732711026202e-01	
  5.623413251903e+01	  7.484943258110e-04	  8.250487475977e+00	  2.533941273000e-02	  1.040834085586e-17	  1.460116993126e-03	  1.086759135010e-03	  9.732008317781e-01	
  6.309573444802e+01	  7.040976872826e-04	  8.213556761147e+00	  2.539496155842e-02	  6.938893903907e-18	  1.377933903776e-03	  1.097886760005e-03	  9.732275009815e-01	
  7.079457843841e+01	  6.661604263349e-04	  8.195254739250e+00	  2.543439013810e-02	  3.469446951954e-18	  1.305452378725e-03	  1.099360540594e-03	  9.732605848447e-01	
  7.943282347243e+01	  6.394606816271e-04	  8.182956117518e+00	  2.546124646634e-02	  0.000000000000e+00	  1.254192109912e-03	  1.099505141618e-03	  9.732850107057e-01	
  8.912509381337e+01	  6.210645486010e-04	  8.174074705778e+00	  2.547966188218e-02	  0.000000000000e+00	  1.218842140592e-03	  1.099516192962e-03	  9.733019604023e-01	
  1.000000000000e+02	  6.089316822426e-04	  8.167958709633e+00	  2.549180059493e-02	  0.000000000000e+00	  1.195520993759e-03	  1.099516607031e-03	  9.733131528383e-01	
  1.122018454302e+02	  6.014037000420e-04	  8.164052340386e+00	  2.549933183444e-02	  0.000000000000e+00	  1.181048825094e-03	  1.099516491379e-03	  9.733200999790e-01	
  1.258925411794e+02	  5.969494890584e-04	  8.161699612893e+00	  2.550378795969e-02	  0.000000000000e+00	  1.172484987348e-03	  1.099516408993e-03	  9.733242113688e-01	
  1.412537544623e+02	  5.945046483597e-04	  8.160394982942e+00	  2.550623385103e-02	  0.000000000000e+00	  1.167784169257e-03	  1.099516363413e-03	  9.733264683146e-01	
