             seconds	                  Ca	                  pH	             Calcite	         Portlandite	                 DIC	                  Si	
  0.000000000000e+00	  0.000000000000e+00	  5.650000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
  0.000000000000e+00	  0.000000000000e+00	  5.650000000000e+00	  1.000000000000e-06	  2.700000000000e-02	  0.000000000000e+00	  0.000000000000e+00	
  0.000000000000e+00	  0.000000000000e+00	  5.650000000000e+00	  1.000000000000e-06	  2.700000000000e-02	  0.000000000000e+00	  0.000000000000e+00	
  1.122018454302e+00	  1.649727506249e-02	  1.239271073678e+01	  1.026775273592e-06	  1.050275133016e-02	  7.073834875605e-04	  2.637922925286e-07	
  1.258925411794e+00	  1.735351126610e-02	  1.241075507891e+01	  1.034485114796e-06	  9.646455611554e-03	  7.936248295257e-04	  2.498719138215e-07	
  1.412537544623e+00	  1.812861704953e-02	  1.242593020643e+01	  1.044423986553e-06	  8.871286193306e-03	  8.903876002256e-04	  2.388655285208e-07	
  1.584893192461e+00	  1.881449069021e-02	  1.243834970188e+01	  1.057259865510e-06	  8.185343348579e-03	  9.989551289437e-04	  2.302971481653e-07	
  1.778279410039e+00	  1.941055370485e-02	  1.244822701280e+01	  1.073879510092e-06	  7.589203841323e-03	  1.120767176502e-03	  2.237398874619e-07	
  1.995262314969e+00	  1.992287944324e-02	  1.245584488525e+01	  1.095472559056e-06	  7.076792203236e-03	  1.257438959720e-03	  2.188176578713e-07	
  2.238721138568e+00	  2.036975502412e-02	  1.246160709171e+01	  1.124231409337e-06	  6.629816756256e-03	  1.413684834918e-03	  2.151507523937e-07	
  2.511886431510e+00	  2.074338510552e-02	  1.246558012166e+01	  1.160660301606e-06	  6.256075020081e-03	  1.582830320004e-03	  2.126257000105e-07	
  2.818382931264e+00	  2.109062423134e-02	  1.246839420625e+01	  1.211340696214e-06	  5.908697817469e-03	  1.782072237078e-03	  2.108042822915e-07	
  3.162277660168e+00	  2.139028513949e-02	  1.247004152899e+01	  1.275065588490e-06	  5.608881406195e-03	  1.992436009246e-03	  2.096808447878e-07	
  3.548133892336e+00	  2.168579773072e-02	  1.247095436947e+01	  1.363651942938e-06	  5.313174015490e-03	  2.235418342611e-03	  2.089715767125e-07	
  3.981071705535e+00	  2.198010980691e-02	  1.247125498491e+01	  1.485553201695e-06	  5.018619896409e-03	  2.508023966222e-03	  2.086012128293e-07	
  4.466835921510e+00	  2.229878214479e-02	  1.247106462492e+01	  1.666573409844e-06	  4.699623008349e-03	  2.829220074928e-03	  2.084826309704e-07	
  5.011872336273e+00	  2.260629149640e-02	  1.247052827895e+01	  1.904094435355e-06	  4.391727068171e-03	  3.156943580929e-03	  2.085603679282e-07	
  5.623413251903e+00	  2.295385043220e-02	  1.246963412657e+01	  2.273361220198e-06	  4.043620155383e-03	  3.541798625582e-03	  2.088048104834e-07	
  6.309573444802e+00	  2.333164987340e-02	  1.246839475054e+01	  2.849469254026e-06	  3.665039360394e-03	  3.973444957362e-03	  2.092160176789e-07	
  7.079457843841e+00	  2.374357311658e-02	  1.246674750204e+01	  3.802624187385e-06	  3.251926273316e-03	  4.458643351952e-03	  2.098259053318e-07	
  7.943282347243e+00	  2.419470745624e-02	  1.246453798861e+01	  5.521858598502e-06	  2.798796535197e-03	  5.009768297394e-03	  2.107164914773e-07	
  8.912509381337e+00	  2.466017323859e-02	  1.246166223581e+01	  8.746042451716e-06	  2.329799155797e-03	  5.607115445310e-03	  2.119654182197e-07	
  1.000000000000e+01	  2.515106889689e-02	  1.245762340451e+01	  1.584952062496e-05	  1.831442108790e-03	  6.284984947453e-03	  2.138461685513e-07	
  1.122018454302e+01	  2.563316880876e-02	  1.245184673913e+01	  3.375786802260e-05	  1.331027375900e-03	  7.035610277890e-03	  2.167241411078e-07	
  1.258925411794e+01	  2.604740594767e-02	  1.244334431569e+01	  8.804656102994e-05	  8.620490021411e-04	  7.843610486780e-03	  2.212569743037e-07	
  1.412537544623e+01	  2.623223863858e-02	  1.243070812479e+01	  2.932840149913e-04	  4.715028399399e-04	  8.605870558588e-03	  2.285378479877e-07	
  1.584893192461e+01	  2.554898980689e-02	  1.241249163410e+01	  1.244633682286e-03	  2.030239122778e-04	  8.740168890209e-03	  2.404046581595e-07	
  1.778279410039e+01	  2.180604714638e-02	  1.238817800505e+01	  5.127696016917e-03	  6.311458172109e-05	  6.085656072578e-03	  2.606832900503e-07	
  1.995262314969e+01	  1.644895907414e-02	  1.235714580910e+01	  1.053483743389e-02	  1.377121515635e-05	  2.036400435038e-03	  2.917461242880e-07	
  2.238721138568e+01	  1.371010856950e-02	  1.231511962561e+01	  1.328573071769e-02	  2.012812324544e-06	  8.195505282214e-04	  3.349316331891e-07	
  2.511886431510e+01	  1.179573736457e-02	  1.226013627734e+01	  1.520210131361e-02	  1.998313774142e-07	  6.241515247104e-04	  4.005772462350e-07	
  2.818382931264e+01	  9.796409978460e-03	  1.218659775942e+01	  1.720195674883e-02	  1.354223847644e-08	  5.552243058526e-04	  5.130482885023e-07	
  3.162277660168e+01	  7.487523898363e-03	  1.207690880262e+01	  1.951153169751e-02	  5.503281753916e-10	  5.031041526671e-04	  7.547677013738e-07	
  3.548133892336e+01	  5.107493671969e-03	  1.191416597505e+01	  2.189282940911e-02	  1.930364895708e-11	  4.692902706905e-04	  1.379357908832e-06	
  3.981071705535e+01	  2.396145861405e-03	  1.155549217791e+01	  2.460936835426e-02	  3.965647255022e-13	  4.727134487589e-04	  5.593612119197e-06	
  4.466835921510e+01	  7.307409294956e-04	  8.895865217734e+00	  2.679898200335e-02	  4.933553565678e-15	  1.309367485895e-03	  5.288188319984e-04	
  5.011872336273e+01	  9.697554285598e-04	  8.377032570609e+00	  2.701914831533e-02	  3.816391647149e-17	  1.870650825281e-03	  9.878952221043e-04	
  5.623413251903e+01	  8.725915946207e-04	  8.308012843853e+00	  2.721050255741e-02	  1.040834085586e-17	  1.693512026327e-03	  1.081995463329e-03	
  6.309573444802e+01	  7.691464766128e-04	  8.258129490525e+00	  2.732920754614e-02	  1.040834085586e-17	  1.499290684921e-03	  1.097198864236e-03	
  7.079457843841e+01	  6.977878318416e-04	  8.221651234109e+00	  2.740265911546e-02	  3.469446951954e-18	  1.364271186225e-03	  1.099256590855e-03	
  7.943282347243e+01	  6.538645019449e-04	  8.197140084179e+00	  2.744680805052e-02	  0.000000000000e+00	  1.280846427209e-03	  1.099460946001e-03	
  8.912509381337e+01	  6.267859318823e-04	  8.181017596897e+00	  2.747391520587e-02	  0.000000000000e+00	  1.229305356096e-03	  1.099476449884e-03	
  1.000000000000e+02	  6.105357061970e-04	  8.170927045363e+00	  2.749017388154e-02	  0.000000000000e+00	  1.198335365226e-03	  1.099477041447e-03	
  1.122018454302e+02	  6.014772106465e-04	  8.165158897873e+00	  2.749923662685e-02	  0.000000000000e+00	  1.181058684791e-03	  1.099476906840e-03	
  1.258925411794e+02	  5.965624706243e-04	  8.161985056493e+00	  2.750415365652e-02	  0.000000000000e+00	  1.171681274675e-03	  1.099476816537e-03	
  1.412537544623e+02	  5.941207969028e-04	  8.160396487594e+00	  2.750659646761e-02	  0.000000000000e+00	  1.167021511819e-03	  1.099476771221e-03	
