             seconds	                  Ca	                  pH	             Calcite	         Portlandite	                 DIC	
  0.000000000000e+00	  0.000000000000e+00	  5.650000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
  0.000000000000e+00	  0.000000000000e+00	  5.650000000000e+00	  1.000000000000e-06	  2.024500000000e-02	  0.000000000000e+00	
  0.000000000000e+00	  0.000000000000e+00	  5.650000000000e+00	  1.000000000000e-06	  2.024500000000e-02	  0.000000000000e+00	
  1.122018454302e+00	  1.193585350893e-02	  1.225530059947e+01	  1.029656149240e-06	  8.308923615293e-03	  8.975700472808e-04	
  1.258925411794e+00	  1.276171341548e-02	  1.227950280166e+01	  1.044649138403e-06	  7.483010179866e-03	  1.007076854930e-03	
  1.412537544623e+00	  1.357648182739e-02	  1.230144917163e+01	  1.067210443946e-06	  6.668174371484e-03	  1.129939261612e-03	
  1.584893192461e+00	  1.436773384047e-02	  1.232102239451e+01	  1.101394879304e-06	  5.876836387268e-03	  1.267783632257e-03	
  1.778279410039e+00	  1.512386506740e-02	  1.233814363557e+01	  1.153768788372e-06	  5.120593381987e-03	  1.422432727418e-03	
  1.995262314969e+00	  1.583510877891e-02	  1.235277952173e+01	  1.235400580643e-06	  4.409200318801e-03	  1.595927974025e-03	
  2.238721138568e+00	  1.649427144299e-02	  1.236494137157e+01	  1.365982063005e-06	  3.749830282087e-03	  1.790552563687e-03	
  2.511886431510e+00	  1.709699745687e-02	  1.237467573633e+01	  1.583127142746e-06	  3.146800417251e-03	  2.008852692315e-03	
  2.818382931264e+00	  1.764151175439e-02	  1.238204768324e+01	  1.965603824637e-06	  2.601806066908e-03	  2.253648589839e-03	
  3.162277660168e+00	  1.812792018076e-02	  1.238711989661e+01	  2.699063760465e-06	  2.114554655248e-03	  2.528007230952e-03	
  3.548133892336e+00	  1.855716100403e-02	  1.238993106350e+01	  4.293350765991e-06	  1.683596881612e-03	  2.835068161338e-03	
  3.981071705535e+00	  1.892932326768e-02	  1.239047662396e+01	  8.459874567682e-06	  1.307131068195e-03	  3.177214560006e-03	
  4.466835921510e+00	  1.923847800625e-02	  1.238869551633e+01	  2.270298958787e-05	  9.835809267414e-04	  3.551536469608e-03	
  5.011872336273e+00	  1.943946172037e-02	  1.238447776716e+01	  9.335028739083e-05	  7.117844261042e-04	  3.916864007542e-03	
  5.623413251903e+00	  1.917163182324e-02	  1.237781258933e+01	  5.821474102928e-04	  4.906676396272e-04	  3.917265019276e-03	
  6.309573444802e+00	  1.754536413552e-02	  1.236893619556e+01	  2.380605922214e-03	  3.184348509300e-04	  2.667809410890e-03	
  7.079457843841e+00	  1.603568230635e-02	  1.235672356333e+01	  4.016617070732e-03	  1.920647079369e-04	  1.647780172945e-03	
  7.943282347243e+00	  1.504214776550e-02	  1.234050273171e+01	  5.095806477617e-03	  1.063239225792e-04	  1.259674242483e-03	
  8.912509381337e+00	  1.416093834015e-02	  1.231995677857e+01	  6.029912388706e-03	  5.333054130808e-05	  1.100952713409e-03	
  1.000000000000e+01	  1.323398066863e-02	  1.229443648314e+01	  6.986184137403e-03	  2.392816337535e-05	  1.014668600041e-03	
  1.122018454302e+01	  1.219230492205e-02	  1.226230073752e+01	  8.042384125467e-03	  9.336065839916e-06	  9.511433286923e-04	
  1.258925411794e+01	  1.106837506719e-02	  1.222350004241e+01	  9.172334461118e-03	  3.282624338675e-06	  8.999044120155e-04	
  1.412537544623e+01	  9.797044440554e-03	  1.217350276240e+01	  1.044598146522e-02	  9.800693471784e-07	  8.551435635888e-04	
  1.584893192461e+01	  8.367396775103e-03	  1.210726489405e+01	  1.187644443868e-02	  2.459596750194e-07	  8.170481233714e-04	
  1.778279410039e+01	  6.783068370347e-03	  1.201617971767e+01	  1.346113894551e-02	  5.212336265034e-08	  7.875375114357e-04	
  1.995262314969e+01	  5.053308912639e-03	  1.188160671466e+01	  1.519122910088e-02	  9.395602785373e-09	  7.716453021275e-04	
  2.238721138568e+01	  3.124401849842e-03	  1.163496161685e+01	  1.712058937868e-02	  1.339986094306e-09	  7.899205415768e-04	
  2.511886431510e+01	  1.199449971575e-03	  1.066189558892e+01	  1.904611951153e-02	  1.506703997678e-10	  1.049486406801e-03	
  2.818382931264e+01	  9.847325864353e-04	  8.376485464143e+00	  1.926092481780e-02	  1.255701445602e-11	  1.926888777300e-03	
  3.162277660168e+01	  1.045420743276e-03	  8.399206058788e+00	  1.920021655105e-02	  8.271092144518e-13	  2.040094025054e-03	
  3.548133892336e+01	  1.111823278790e-03	  8.422321295883e+00	  1.913379211870e-02	  3.759145772442e-14	  2.163303951488e-03	
  3.981071705535e+01	  1.182990246630e-03	  8.445281649739e+00	  1.906260181728e-02	  1.255939796607e-15	  2.294607552069e-03	
  4.466835921510e+01	  1.256105227590e-03	  8.467113459602e+00	  1.898946300697e-02	  2.775557561563e-17	  2.428719954146e-03	
  5.011872336273e+01	  1.328617112687e-03	  8.487171720640e+00	  1.891692762967e-02	  6.938893903907e-18	  2.560964830341e-03	
  5.623413251903e+01	  1.398613141906e-03	  8.505155869635e+00	  1.884690905396e-02	  0.000000000000e+00	  2.687930070695e-03	
  6.309573444802e+01	  1.460608689569e-03	  8.520035735620e+00	  1.878489364252e-02	  0.000000000000e+00	  2.799841164387e-03	
  7.079457843841e+01	  1.513254423854e-03	  8.531944025988e+00	  1.873223111728e-02	  0.000000000000e+00	  2.894493182341e-03	
  7.943282347243e+01	  1.551502182302e-03	  8.540195527200e+00	  1.869397120403e-02	  0.000000000000e+00	  2.963049008507e-03	
  8.912509381337e+01	  1.580046122573e-03	  8.546141459026e+00	  1.866541821677e-02	  0.000000000000e+00	  3.014100783620e-03	
  1.000000000000e+02	  1.595539986932e-03	  8.549294707050e+00	  1.864991945020e-02	  0.000000000000e+00	  3.041773541846e-03	
  1.122018454302e+02	  1.605204037529e-03	  8.551235403196e+00	  1.864025234498e-02	  0.000000000000e+00	  3.059020522603e-03	
  1.258925411794e+02	  1.610131434457e-03	  8.552217245871e+00	  1.863532339149e-02	  0.000000000000e+00	  3.067810282788e-03	
  1.412537544623e+02	  1.612415683327e-03	  8.552670662611e+00	  1.863303842123e-02	  0.000000000000e+00	  3.071884155015e-03	
  1.584893192461e+02	  1.613357233087e-03	  8.552857236015e+00	  1.863209657416e-02	  0.000000000000e+00	  3.073563209062e-03	
