             seconds	                  pH	             logHCO3	              logCO3	            logH2CO3	
  0.000000000000e+00	  7.000000000000e+00	 -9.999000000000e+01	 -9.999000000000e+01	 -9.999000000000e+01	
  1.500000000000e+04	  6.158481028822e+00	 -6.169643761658e+00	 -1.036412230432e+01	 -9.999000000000e+01	
  3.000000000000e+04	  6.052966090735e+00	 -6.060201315725e+00	 -1.036019479647e+01	 -9.999000000000e+01	
  4.500000000000e+04	  5.994308664927e+00	 -6.000025685047e+00	 -1.035867659160e+01	 -9.999000000000e+01	
  6.000000000000e+04	  5.954065952597e+00	 -5.958941491681e+00	 -1.035783511056e+01	 -9.999000000000e+01	
  7.500000000000e+04	  5.923806625629e+00	 -5.928137656710e+00	 -1.035729060256e+01	 -9.999000000000e+01	
  9.000000000000e+04	  5.899772972122e+00	 -5.903718372097e+00	 -1.035690497145e+01	 -9.999000000000e+01	
  1.050000000000e+05	  5.879982775556e+00	 -5.883638528969e+00	 -1.035661532489e+01	 -9.999000000000e+01	
  1.200000000000e+05	  5.863264513991e+00	 -5.866693535486e+00	 -1.035638859298e+01	 -9.999000000000e+01	
  1.350000000000e+05	  5.848869009118e+00	 -5.852115025361e+00	 -1.035620558772e+01	 -9.999000000000e+01	
  1.500000000000e+05	  5.836289356819e+00	 -5.839384140302e+00	 -1.035605435496e+01	 -9.999000000000e+01	
  1.650000000000e+05	  5.825165484803e+00	 -5.828132922457e+00	 -1.035592700913e+01	 -9.999000000000e+01	
  1.800000000000e+05	  5.815231850155e+00	 -5.818090391227e+00	 -1.035581811255e+01	 -9.999000000000e+01	
  1.950000000000e+05	  5.806292378344e+00	 -5.809056645642e+00	 -1.035572383878e+01	 -9.999000000000e+01	
  2.100000000000e+05	  5.798191421203e+00	 -5.800873187849e+00	 -1.035564133813e+01	 -9.999000000000e+01	
  2.250000000000e+05	  5.790807661841e+00	 -5.793416574494e+00	 -1.035556848413e+01	 -9.999000000000e+01	
  2.400000000000e+05	  5.784043772150e+00	 -5.786587845534e+00	 -1.035550364486e+01	 -9.999000000000e+01	
  2.550000000000e+05	  5.777820516337e+00	 -5.780306490077e+00	 -1.035544554522e+01	 -9.999000000000e+01	
  2.700000000000e+05	  5.772072554771e+00	 -5.774506156449e+00	 -1.035539317316e+01	 -9.999000000000e+01	
  2.850000000000e+05	  5.766745393936e+00	 -5.769131536720e+00	 -1.035534571426e+01	 -9.999000000000e+01	
  3.000000000000e+05	  5.761793127290e+00	 -5.764136060891e+00	 -1.035530250508e+01	 -9.999000000000e+01	
  3.150000000000e+05	  5.757176733649e+00	 -5.759480161355e+00	 -1.035526299919e+01	 -9.999000000000e+01	
  3.300000000000e+05	  5.752862776170e+00	 -5.755129946797e+00	 -1.035522674211e+01	 -9.999000000000e+01	
  3.450000000000e+05	  5.748822394186e+00	 -5.751056175189e+00	 -1.035519335248e+01	 -9.999000000000e+01	
  3.600000000000e+05	  5.745030512496e+00	 -5.747233448740e+00	 -1.035516250772e+01	 -9.999000000000e+01	
  3.750000000000e+05	  5.741465248065e+00	 -5.743639609805e+00	 -1.035513393322e+01	 -9.999000000000e+01	
  3.900000000000e+05	  5.738107847097e+00	 -5.740255672764e+00	 -1.035510739715e+01	 -9.999000000000e+01	
  4.050000000000e+05	  5.734940766943e+00	 -5.737063887187e+00	 -1.035508269172e+01	 -9.999000000000e+01	
  4.200000000000e+05	  5.731948893129e+00	 -5.734048961815e+00	 -1.035505964017e+01	 -9.999000000000e+01	
  4.350000000000e+05	  5.729118749690e+00	 -5.731197266379e+00	 -1.035503808817e+01	 -9.999000000000e+01	
  4.500000000000e+05	  5.726438272875e+00	 -5.728496601790e+00	 -1.035501790040e+01	 -9.999000000000e+01	
  4.650000000000e+05	  5.723896622389e+00	 -5.725936008500e+00	 -1.035499895759e+01	 -9.999000000000e+01	
  4.800000000000e+05	  5.721488236678e+00	 -5.723509850371e+00	 -1.035498118517e+01	 -9.999000000000e+01	
  4.950000000000e+05	  5.719196372296e+00	 -5.721201231875e+00	 -1.035496443106e+01	 -9.999000000000e+01	
  5.100000000000e+05	  5.717016322539e+00	 -5.719005387390e+00	 -1.035494863633e+01	 -9.999000000000e+01	
  5.250000000000e+05	  5.714941132753e+00	 -5.716915290022e+00	 -1.035493372875e+01	 -9.999000000000e+01	
  5.400000000000e+05	  5.712963576617e+00	 -5.714923642303e+00	 -1.035491963717e+01	 -9.999000000000e+01	
