             seconds	                  Ca	                  pH	             Calcite	         Portlandite	
  0.000000000000e+00	  0.000000000000e+00	  7.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
  0.000000000000e+00	  0.000000000000e+00	  7.000000000000e+00	  1.000000000000e-06	  1.350000000000e-01	
  1.000000000000e+01	  1.350032361430e-05	  9.264311654999e+00	  9.990012168820e-07	  1.349865006750e-01	
  1.258925411794e+01	  1.699567932496e-05	  9.360011646746e+00	  9.987436166824e-07	  1.349830055767e-01	
  1.584893192461e+01	  2.139594135366e-05	  9.454839433419e+00	  9.984206262517e-07	  1.349786056374e-01	
  1.995262314969e+01	  2.693533596638e-05	  9.548653875364e+00	  9.980169291463e-07	  1.349730666459e-01	
  2.511886431510e+01	  3.390869005346e-05	  9.641312931329e+00	  9.975156436202e-07	  1.349660937919e-01	
  3.162277660168e+01	  4.268709407355e-05	  9.732683184962e+00	  9.969001979928e-07	  1.349573160012e-01	
  3.981071705535e+01	  5.373760142406e-05	  9.822652668920e+00	  9.961606740716e-07	  1.349462662295e-01	
  5.011872336273e+01	  6.764799842985e-05	  9.911146490430e+00	  9.953078677907e-07	  1.349323566780e-01	
  6.309573444802e+01	  8.515793645605e-05	  9.998143971309e+00	  9.944044152967e-07	  1.349148476300e-01	
  7.943282347243e+01	  1.071980397809e-04	  1.008369510986e+01	  9.936287827232e-07	  1.348928082782e-01	
  1.000000000000e+02	  1.349389948900e-04	  1.016793343649e+01	  9.934047034830e-07	  1.348650675041e-01	
  1.258925411794e+02	  1.698531119834e-04	  1.025108153269e+01	  9.946503988377e-07	  1.348301520656e-01	
  1.584893192461e+02	  2.137914227873e-04	  1.033344618235e+01	  9.992544565283e-07	  1.347862090192e-01	
  1.995262314969e+02	  2.690800430200e-04	  1.041540114532e+01	  1.010988864127e-06	  1.347309084392e-01	
  2.511886431510e+02	  3.386402125991e-04	  1.049735779146e+01	  1.037319883303e-06	  1.346613215572e-01	
  3.162277660168e+02	  4.261368021157e-04	  1.057972621153e+01	  1.093326515162e-06	  1.345737683231e-01	
  3.981071705535e+02	  5.361590022273e-04	  1.066287174034e+01	  1.211338677672e-06	  1.344636270553e-01	
  5.011872336273e+02	  6.744292132717e-04	  1.074707344065e+01	  1.469138244319e-06	  1.343250973149e-01	
  6.309573444802e+02	  8.479954532581e-04	  1.083249113659e+01	  2.091952390206e-06	  1.341509054504e-01	
  7.943282347243e+02	  1.065109048511e-03	  1.091914392409e+01	  3.938733346047e-06	  1.339319405468e-01	
  1.000000000000e+03	  1.332241942429e-03	  1.100688337023e+01	  1.193212966708e-05	  1.336568070634e-01	
  1.258925411794e+03	  1.612660679008e-03	  1.109517832558e+01	  7.703056965147e-05	  1.333112793484e-01	
  1.584893192461e+03	  1.343480313916e-03	  1.118219432379e+01	  7.798578650970e-04	  1.328776298988e-01	
  1.995262314969e+03	  1.058974338438e-03	  1.127376924532e+01	  1.608196229022e-03	  1.323337971589e-01	
  2.511886431510e+03	  1.271809780335e-03	  1.136654718255e+01	  2.076510404090e-03	  1.316526309559e-01	
  3.162277660168e+03	  1.556871354498e-03	  1.145804265185e+01	  2.643207622725e-03	  1.308008456893e-01	
  3.981071705535e+03	  1.914059744332e-03	  1.154779175377e+01	  3.348749928433e-03	  1.297380737044e-01	
  5.011872336273e+03	  2.352848287873e-03	  1.163524170660e+01	  4.231773313529e-03	  1.284161979034e-01	
  6.309573444802e+03	  2.881578231758e-03	  1.171964010613e+01	  5.339826932513e-03	  1.267793165287e-01	
  7.943282347243e+03	  3.503427313132e-03	  1.179992737670e+01	  6.732203393545e-03	  1.247649433042e-01	
  1.000000000000e+04	  4.220914437738e-03	  1.187566007463e+01	  8.511727982889e-03	  1.222677092861e-01	
  1.258925411794e+04	  4.973434185707e-03	  1.194175468698e+01	  1.068620407556e-02	  1.193404032813e-01	
  1.584893192461e+04	  5.736735598116e-03	  1.199885290171e+01	  1.345854740226e-02	  1.158043251762e-01	
  1.995262314969e+04	  6.415319416566e-03	  1.204329846752e+01	  1.696173928034e-02	  1.116219802323e-01	
  2.511886431510e+04	  6.897238735468e-03	  1.207197974614e+01	  2.134015880468e-02	  1.067609503104e-01	
  3.162277660168e+04	  7.086360039832e-03	  1.208268637263e+01	  2.686918673121e-02	  1.010420228110e-01	
  3.981071705535e+04	  6.892357214877e-03	  1.207177134656e+01	  3.382944590641e-02	  9.427499646159e-02	
  5.011872336273e+04	  6.205819677579e-03	  1.203030862391e+01	  4.265093937140e-02	  8.613947302922e-02	
  6.309573444802e+04	  4.827061438313e-03	  1.193024740832e+01	  5.362211517396e-02	  7.654716099855e-02	
  7.943282347243e+04	  2.135889377735e-03	  1.159859605834e+01	  6.764086655832e-02	  6.522164174267e-02	
  1.000000000000e+05	  3.561620701255e-04	  8.566322958220e+00	  8.148028059977e-02	  5.316403456304e-02	
