             seconds	                  Ca	                  pH	             Calcite	         Portlandite	
  0.000000000000e+00	  0.000000000000e+00	  7.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
  0.000000000000e+00	  0.000000000000e+00	  7.000000000000e+00	  1.000000000000e-06	  1.350000000000e-01	
  1.000000000000e+01	  1.350032452321e-05	  6.834510013328e+00	  9.990005089594e-07	  1.349865006750e-01	
  1.258925411794e+01	  1.699568141340e-05	  6.933359208295e+00	  9.987418893384e-07	  1.349830055767e-01	
  1.584893192461e+01	  2.139594623579e-05	  7.032363049779e+00	  9.984164183405e-07	  1.349786056373e-01	
  1.995262314969e+01	  2.693534730539e-05	  7.131425135946e+00	  9.980068668099e-07	  1.349730666458e-01	
  2.511886431510e+01	  3.390871653482e-05	  7.230473370629e+00	  9.974916136841e-07	  1.349660937918e-01	
  3.162277660168e+01	  4.268715542672e-05	  7.329450010453e+00	  9.968435819898e-07	  1.349573160009e-01	
  3.981071705535e+01	  5.373774220165e-05	  7.428303671175e+00	  9.960289900813e-07	  1.349462662286e-01	
  5.011872336273e+01	  6.764831776404e-05	  7.526982904717e+00	  9.950059922219e-07	  1.349323566759e-01	
  6.309573444802e+01	  8.515865073453e-05	  7.625430414424e+00	  9.937234737106e-07	  1.349148476251e-01	
  7.943282347243e+01	  1.071996111359e-04	  7.723577168749e+00	  9.921207415318e-07	  1.348928082667e-01	
  1.000000000000e+02	  1.349423896482e-04	  7.821335751931e+00	  9.901300195384e-07	  1.348650674776e-01	
  1.258925411794e+02	  1.698603031141e-04	  7.918592381337e+00	  9.876864551955e-07	  1.348301520048e-01	
  1.584893192461e+02	  2.138063496943e-04	  8.015196964764e+00	  9.847569339917e-07	  1.347862088818e-01	
  1.995262314969e+02	  2.691104304121e-04	  8.110951482758e+00	  9.814142841798e-07	  1.347309081312e-01	
  2.511886431510e+02	  3.387010594199e-04	  8.205597221217e+00	  9.780182723528e-07	  1.346613208716e-01	
  3.162277660168e+02	  4.262574442866e-04	  8.298803316076e+00	  9.756435430461e-07	  1.345737668050e-01	
  3.981071705535e+02	  5.363989935314e-04	  8.390161101523e+00	  9.770749662541e-07	  1.344636237045e-01	
  5.011872336273e+02	  6.749204550969e-04	  8.479190614309e+00	  9.891361405898e-07	  1.343250899292e-01	
  6.309573444802e+02	  8.490814057834e-04	  8.565365844496e+00	  1.028420999700e-06	  1.341508891661e-01	
  7.943282347243e+02	  1.067955918841e-03	  8.648159617387e+00	  1.137396091565e-06	  1.339319045922e-01	
  1.000000000000e+03	  1.342826266596e-03	  8.727095381721e+00	  1.441887684980e-06	  1.336567275591e-01	
  1.258925411794e+03	  1.687445027182e-03	  8.801752486268e+00	  2.442370600637e-06	  1.333111039771e-01	
  1.584893192461e+03	  2.116247605108e-03	  8.871352607145e+00	  7.475151368355e-06	  1.328772602168e-01	
  1.995262314969e+03	  2.597195092579e-03	  8.926359162116e+00	  7.068132379646e-05	  1.323330903003e-01	
  2.511886431510e+03	  1.943072675229e-03	  8.777660740792e+00	  1.406677939700e-03	  1.316511886098e-01	
  3.162277660168e+03	  9.475104277579e-04	  8.565507318117e+00	  3.255713430025e-03	  1.307977192847e-01	
  3.981071705535e+03	  7.929416072925e-04	  8.505518950278e+00	  4.476865820386e-03	  1.297311279022e-01	
  5.011872336273e+03	  7.272630815172e-04	  8.472762951763e+00	  5.872932152282e-03	  1.284007272888e-01	
  6.309573444802e+03	  6.777709568947e-04	  8.445324627598e+00	  7.577901568714e-03	  1.267452345359e-01	
  7.943282347243e+03	  6.382012442156e-04	  8.421449959485e+00	  9.673378869546e-03	  1.246893083430e-01	
  1.000000000000e+04	  6.060895608957e-04	  8.400569633746e+00	  1.224172502130e-02	  1.221530514913e-01	
  1.258925411794e+04	  5.797750345378e-04	  8.382239291064e+00	  1.539026941180e-02	  1.190307945951e-01	
  1.584893192461e+04	  5.579049623143e-04	  8.365955477034e+00	  1.929748763186e-02	  1.151454132823e-01	
  1.995262314969e+04	  5.406137164629e-04	  8.352192460033e+00	  2.388129936810e-02	  1.105788541953e-01	
  2.511886431510e+04	  5.263503261451e-04	  8.340011652815e+00	  2.946116188396e-02	  1.050132083286e-01	
  3.162277660168e+04	  5.148891076985e-04	  8.329412451596e+00	  3.608516513703e-02	  9.840061096453e-02	
  3.981071705535e+04	  5.057999875145e-04	  8.320184706094e+00	  4.383014389664e-02	  9.066465669105e-02	
  5.011872336273e+04	  4.986855320963e-04	  8.312102375539e+00	  5.275309956665e-02	  8.174874096172e-02	
  6.309573444802e+04	  4.932917001703e-04	  8.305082368095e+00	  6.267605817274e-02	  7.183109316209e-02	
  7.943282347243e+04	  4.892623163647e-04	  8.298909937669e+00	  7.350665617473e-02	  6.100443366316e-02	
  1.000000000000e+05	  4.863649645926e-04	  8.293530683033e+00	  8.485016706457e-02	  4.966372460286e-02	
