             seconds	                  Ca	                  pH	             Calcite	         Portlandite	                 DIC	                  Si	
  0.000000000000e+00	  0.000000000000e+00	  7.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
  0.000000000000e+00	  0.000000000000e+00	  7.000000000000e+00	  1.000000000000e-06	  2.700000000000e-02	  0.000000000000e+00	  0.000000000000e+00	
  1.122018454302e+00	  1.647966179516e-02	  1.239290794885e+01	  2.533529772872e-05	  1.049605663619e-02	  6.837009755785e-04	  2.636835896742e-07	
  1.258925411794e+00	  1.725553771128e-02	  1.241073807603e+01	  9.399466801523e-05	  9.651471336628e-03	  7.001182243686e-04	  2.500047152858e-07	
  1.412537544623e+00	  1.781614649606e-02	  1.242668608000e+01	  3.426806747560e-04	  8.842124662492e-03	  5.528068452052e-04	  2.386907771980e-07	
  1.584893192461e+00	  1.818481540215e-02	  1.243867268789e+01	  6.293882733741e-04	  8.186700108462e-03	  3.700876583545e-04	  2.306748709263e-07	
  1.778279410039e+00	  1.856986167502e-02	  1.244888025081e+01	  8.542563132663e-04	  7.576730638427e-03	  2.696144168853e-04	  2.240645361575e-07	
  1.995262314969e+00	  1.889752538580e-02	  1.245646140796e+01	  1.031074861968e-03	  7.072191310930e-03	  2.269351317733e-04	  2.192845456026e-07	
  2.238721138568e+00	  1.916746196065e-02	  1.246234147217e+01	  1.209595389652e-03	  6.623670766214e-03	  2.039806877252e-04	  2.156597572033e-07	
  2.511886431510e+00	  1.936464983381e-02	  1.246654578947e+01	  1.398271205882e-03	  6.237739015733e-03	  1.887708289733e-04	  2.131149365967e-07	
  2.818382931264e+00	  1.949724096891e-02	  1.246938103208e+01	  1.599812123262e-03	  5.903534928148e-03	  1.767633414996e-04	  2.114222966656e-07	
  3.162277660168e+00	  1.958404096002e-02	  1.247128495760e+01	  1.830737399491e-03	  5.585728146696e-03	  1.658866430611e-04	  2.102976041337e-07	
  3.548133892336e+00	  1.962995743681e-02	  1.247236212794e+01	  2.079928373675e-03	  5.290533674521e-03	  1.563895517277e-04	  2.096671852971e-07	
  3.981071705535e+00	  1.964710202824e-02	  1.247286716716e+01	  2.361471759316e-03	  4.991748204712e-03	  1.475966165965e-04	  2.093755746893e-07	
  4.466835921510e+00	  1.964141370583e-02	  1.247291864996e+01	  2.678995840359e-03	  4.679803246217e-03	  1.394310095499e-04	  2.093510841104e-07	
  5.011872336273e+00	  1.961762839675e-02	  1.247260743729e+01	  3.031126849751e-03	  4.351337178563e-03	  1.319352392662e-04	  2.095399492778e-07	
  5.623413251903e+00	  1.957841602924e-02	  1.247198605958e+01	  3.421459774200e-03	  4.000084032933e-03	  1.250185645342e-04	  2.099119345214e-07	
  6.309573444802e+00	  1.952275275644e-02	  1.247103681472e+01	  3.862680524897e-03	  3.614377838285e-03	  1.184910118510e-04	  2.104789724097e-07	
  7.079457843841e+00	  1.944904393595e-02	  1.246972408388e+01	  4.350380084473e-03	  3.200224456231e-03	  1.124514360946e-04	  2.112643191962e-07	
  7.943282347243e+00	  1.934953162892e-02	  1.246789544858e+01	  4.901060875269e-03	  2.748875160146e-03	  1.067310495854e-04	  2.123628134613e-07	
  8.912509381337e+00	  1.921444767051e-02	  1.246534950942e+01	  5.514489566918e-03	  2.270333724689e-03	  1.013809529738e-04	  2.139028802943e-07	
  1.000000000000e+01	  1.902401090990e-02	  1.246167890016e+01	  6.204665219342e-03	  1.770381602677e-03	  9.632371191945e-05	  2.161473280822e-07	
  1.122018454302e+01	  1.874716198477e-02	  1.245622205458e+01	  6.981995801517e-03	  1.269673914460e-03	  9.154320294792e-05	  2.195395494834e-07	
  1.258925411794e+01	  1.834306302895e-02	  1.244805259041e+01	  7.845125434978e-03	  8.104162524700e-04	  8.709207653299e-05	  2.247476184864e-07	
  1.412537544623e+01	  1.774607216074e-02	  1.243558334351e+01	  8.819740710400e-03	  4.325752405413e-04	  8.288804368962e-05	  2.330096766316e-07	
  1.584893192461e+01	  1.690981215403e-02	  1.241731559080e+01	  9.906831438773e-03	  1.815615437674e-04	  7.898132459600e-05	  2.458354212834e-07	
  1.778279410039e+01	  1.581095861519e-02	  1.239178528035e+01	  1.113164202478e-02	  5.547385814589e-05	  7.532871087368e-05	  2.653119678121e-07	
  1.995262314969e+01	  1.448695110672e-02	  1.235840841656e+01	  1.249917709169e-02	  1.188609462639e-05	  7.195905009983e-05	  2.938033594262e-07	
  2.238721138568e+01	  1.296024033675e-02	  1.231568359157e+01	  1.403607106919e-02	  1.732752590033e-06	  6.885445780517e-05	  3.360237661687e-07	
  2.511886431510e+01	  1.123821582793e-02	  1.226062762127e+01	  1.575981138801e-02	  1.718667379698e-07	  6.605414227769e-05	  4.018175707791e-07	
  2.818382931264e+01	  9.299022483865e-03	  1.218685564572e+01	  1.769950699544e-02	  1.153773842091e-08	  6.363701964952e-05	  5.154596124904e-07	
  3.162277660168e+01	  7.129646608981e-03	  1.208217118817e+01	  1.986954034538e-02	  5.322842305810e-10	  6.184597812704e-05	  7.462532780675e-07	
  3.548133892336e+01	  4.707725124514e-03	  1.191565231387e+01	  2.229277034064e-02	  1.677242372766e-11	  6.144820270672e-05	  1.390016265380e-06	
  3.981071705535e+01	  1.990631768154e-03	  1.155670177378e+01	  2.501531991887e-02	  3.401896819799e-13	  6.773717761767e-05	  5.848018942077e-06	
  4.466835921510e+01	  4.706043579725e-04	  8.363054531159e+00	  2.709526780897e-02	  4.229255834431e-15	  9.142195404875e-04	  5.648271178797e-04	
  5.011872336273e+01	  7.334891302188e-04	  8.265851405806e+00	  2.726272722304e-02	  3.469446951954e-17	  1.432391700750e-03	  9.950924718099e-04	
  5.623413251903e+01	  6.756563356355e-04	  8.211264427754e+00	  2.740843063965e-02	  1.387778780781e-17	  1.324563652828e-03	  1.082893748154e-03	
  6.309573444802e+01	  6.297272834427e-04	  8.182607603984e+00	  2.746884164784e-02	  6.938893903907e-18	  1.237203655277e-03	  1.097346694858e-03	
  7.079457843841e+01	  6.069152732146e-04	  8.168862313198e+00	  2.749358411517e-02	  3.469446951954e-18	  1.193640519811e-03	  1.099265209499e-03	
  7.943282347243e+01	  5.971604559152e-04	  8.162934604294e+00	  2.750353952781e-02	  3.469446951954e-18	  1.174988561932e-03	  1.099460989195e-03	
  8.912509381337e+01	  5.933979958037e-04	  8.160625879043e+00	  2.750731876023e-02	  3.469446951954e-18	  1.167791697693e-03	  1.099475932008e-03	
  1.000000000000e+02	  5.920984181818e-04	  8.159824222870e+00	  2.750861977753e-02	  0.000000000000e+00	  1.165305592709e-03	  1.099476741722e-03	
  1.122018454302e+02	  5.917040359001e-04	  8.159580433359e+00	  2.750901437593e-02	  0.000000000000e+00	  1.164551114925e-03	  1.099476766752e-03	
  1.258925411794e+02	  5.916013370281e-04	  8.159516906918e+00	  2.750911712348e-02	  0.000000000000e+00	  1.164354644299e-03	  1.099476765674e-03	
  1.412537544623e+02	  5.915796142569e-04	  8.159503467518e+00	  2.750913885638e-02	  0.000000000000e+00	  1.164313086950e-03	  1.099476765283e-03	
  1.584893192461e+02	  5.915755858626e-04	  8.159500975148e+00	  2.750914288665e-02	  0.000000000000e+00	  1.164305380317e-03	  1.099476765208e-03	
